rowid,id,age,occup,gender,origlat,origlon,destlat,destlon,orig_geom,dest_geom,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban
1,81355306,56_75,retired,female,21.017745,105.789006,20.991929,105.80599,0101000020E6100000429605137F725A40E3AAB2EF8A043540,0101000020E6100000CBB9145795735A4038F4160FEFFD3440,visit,taxi,1_3,3.368789637,10.0,convinient,1,0,0,1,1_5,,,6_10,1_5,,neutral,neutral,neutral,good,neutral,high_rise,permanent,owner,jam,jam,slow,slow,400.0,no,no,bike,0,0,1,0,0,0,0,bad,bad,good,good,bad,bad,agree
2,84299385,18_25,student,male,21.04296,105.805248,21.04688,105.785251,0101000020E6100000D84AE82E89735A404209336DFF0A3540,0101000020E6100000AF09698D41725A4024D6E253000C3540,education,moto,4_7,2.120537005,10.0,cost convinient,0,4,0,0,,1_5,,,,1_5,good,good,good,good,good,high_rise,permanent,rent,cost,jam,unsafe,unsafe,500.0,donotcare,car,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
3,84733115,18_25,student,female,20.989184,105.79548,20.989289,105.79557,0101000020E6100000D027F224E9725A40FAB9A1293BFD3440,0101000020E610000070EB6E9EEA725A40E44A3D0B42FD3440,education,moto,8_10,0.014953883,45.0,convinient,1,3,1,0,,,,,,,neutral,neutral,neutral,neutral,neutral,high_rise,long_stay,rent,cost,jam,unsafe,slow,50.0,yes,car,car,1,0,0,0,0,0,0,verygood,good,good,good,good,good,disagree
4,81532595,18_25,student,male,21.006678,105.825425,21.006742,105.825081,0101000020E6100000401361C3D3745A404A9A3FA6B5013540,0101000020E610000043E38920CE745A407782FDD7B9013540,education,walk,17_20,0.03641111,5.0,cost timesaving other,0,3,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,jam,unsafe,slow,100.0,no,car,car,1,0,0,0,0,0,0,bad,bad,neutral,neutral,neutral,neutral,disagree
5,84300298,18_25,private,female,21.03179,105.801981,21.034103,105.795577,0101000020E6100000DBC01DA853735A400057B26323083540,0101000020E6100000C91CCBBBEA725A400CB265F9BA083540,work,moto,4_7,0.712676665,20.0,cost convinient,0,2,0,0,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,old_building,permanent,rent,cost,jam,unsafe,unsafe,500.0,yes,car,car ebike bike,1,1,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
6,80606769,18_25,student,male,20.996282,105.846024,21.003622,105.84148,0101000020E610000064E8D84125765A40EE974F560CFF3440,0101000020E61000003D0FEECEDA755A40CE8B135FED003540,education,moto,4_7,0.942681238,5.0,convinient,2,2,1,0,,,,,,,,,,,,old_building,long_stay,rent,cost,cost,cost,cost,50.0,no,car,car,1,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
7,84300570,18_25,student,female,21.02139,105.8021,21.020133,105.802035,0101000020E6100000C8073D9B55735A402176A6D079053540,0101000020E6100000D5CF9B8A54735A400492B06F27053540,shopping,walk,4_7,0.139934976,10.0,cost convinient,0,2,0,0,,1_5,,,,,good,good,good,good,good,private_house,permanent,parent_house,cost,jam,unsafe,unsafe,500.0,yes,moto,ebike bike,0,1,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
8,84300732,18_25,student,female,21.032606,105.802624,21.027934,105.802863,0101000020E610000005BF0D315E735A4044A7E7DD58083540,0101000020E6100000C80A7E1B62735A404B72C0AE26073540,education,moto,4_7,0.520095386,5.0,cost convinient,0,2,0,0,,1_5,,,,,good,good,good,good,good,private_house,permanent,rent,cost,jam,unsafe,unsafe,498.0,yes,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
9,84300838,18_25,student,female,20.995179,105.806783,20.995384,105.807085,0101000020E610000000FE2955A2735A407EAA0A0DC4FE3440,0101000020E6100000E605D847A7735A4030F65E7CD1FE3440,education,walk,8_10,0.038762446,3.0,cost convinient,0,0,0,0,,,,,,1_5,neutral,neutral,neutral,neutral,neutral,private_house,long_stay,rent,cost,unsafe,unsafe,unsafe,500.0,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
10,84301421,18_25,student,male,21.067366,105.783463,21.027959,105.802865,0101000020E610000011A8FE4124725A40C2DCEEE53E113540,0101000020E61000009886E12362735A40FDA02E5228073540,education,moto,4_7,4.822323388,15.0,cost convinient,0,2,0,0,,1_5,,,,,neutral,neutral,neutral,neutral,neutral,high_rise,permanent,parent_house,cost,jam,unsafe,unsafe,100.0,yes,car,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
