rowid,id,age,occup,gender,origlat,origlon,destlat,destlon,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban,index
1,81355306,56_75,retired,female,21.017745,105.789006,20.991929,105.80599,visit,taxi,1_3,3.368789637,10,convinient,1,0,0,1,1_5,,,6_10,1_5,,neutral,neutral,neutral,good,neutral,high_rise,permanent,owner,jam,jam,slow,slow,400,no,no,bike,0,0,1,0,0,0,0,bad,bad,good,good,bad,bad,agree,1
2,84299385,18_25,student,male,21.04296,105.805248,21.04688,105.785251,education,moto,4_7,2.120537005,10,cost convinient,0,4,0,0,,1_5,,,,1_5,good,good,good,good,good,high_rise,permanent,rent,cost,jam,unsafe,unsafe,500,donotcare,car,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
3,84733115,18_25,student,female,20.989184,105.79548,20.989289,105.79557,education,moto,8_10,0.014953883,45,convinient,1,3,1,0,,,,,,,neutral,neutral,neutral,neutral,neutral,high_rise,long_stay,rent,cost,jam,unsafe,slow,50,yes,car,car,1,0,0,0,0,0,0,verygood,good,good,good,good,good,disagree,1
4,81532595,18_25,student,male,21.006678,105.825425,21.006742,105.825081,education,walk,17_20,0.03641111,5,cost timesaving other,0,3,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,jam,unsafe,slow,100,no,car,car,1,0,0,0,0,0,0,bad,bad,neutral,neutral,neutral,neutral,disagree,1
5,84300298,18_25,private,female,21.03179,105.801981,21.034103,105.795577,work,moto,4_7,0.712676665,20,cost convinient,0,2,0,0,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,old_building,permanent,rent,cost,jam,unsafe,unsafe,500,yes,car,car ebike bike,1,1,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
6,80606769,18_25,student,male,20.996282,105.846024,21.003622,105.84148,education,moto,4_7,0.942681238,5,convinient,2,2,1,0,,,,,,,,,,,,old_building,long_stay,rent,cost,cost,cost,cost,50,no,car,car,1,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
7,84300570,18_25,student,female,21.02139,105.8021,21.020133,105.802035,shopping,walk,4_7,0.139934976,10,cost convinient,0,2,0,0,,1_5,,,,,good,good,good,good,good,private_house,permanent,parent_house,cost,jam,unsafe,unsafe,500,yes,moto,ebike bike,0,1,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8,84300732,18_25,student,female,21.032606,105.802624,21.027934,105.802863,education,moto,4_7,0.520095386,5,cost convinient,0,2,0,0,,1_5,,,,,good,good,good,good,good,private_house,permanent,rent,cost,jam,unsafe,unsafe,498,yes,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
9,84300838,18_25,student,female,20.995179,105.806783,20.995384,105.807085,education,walk,8_10,0.038762446,3,cost convinient,0,0,0,0,,,,,,1_5,neutral,neutral,neutral,neutral,neutral,private_house,long_stay,rent,cost,unsafe,unsafe,unsafe,500,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
10,84301421,18_25,student,male,21.067366,105.783463,21.027959,105.802865,education,moto,4_7,4.822323388,15,cost convinient,0,2,0,0,,1_5,,,,,neutral,neutral,neutral,neutral,neutral,high_rise,permanent,parent_house,cost,jam,unsafe,unsafe,100,yes,car,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
